calibration_percentile,threshold_normalized,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,alerts,alert_rate_percent
90.0,0.28449369117611134,28,46,24,835,0.3783783783783784,0.5384615384615384,0.4444444444444445,74,7.931404072883172
92.5,0.3100733670449179,27,31,25,850,0.46551724137931033,0.5192307692307693,0.49090909090909085,58,6.216505894962487
95.0,0.34371256064480926,21,18,31,863,0.5384615384615384,0.40384615384615385,0.46153846153846156,39,4.180064308681672
97.5,0.365361358869699,17,6,35,875,0.7391304347826086,0.3269230769230769,0.4533333333333333,23,2.465166130760986
99.0,0.3830260556441207,8,0,44,881,1.0,0.15384615384615385,0.2666666666666667,8,0.857449088960343
99.5,0.4109873391260602,4,0,48,881,1.0,0.07692307692307693,0.14285714285714288,4,0.4287245444801715
