fold,group,feature_count,mae_normalized,rmse_normalized
1,calendar_only,4,0.14149232508714568,0.17147977745166906
1,lag_only,4,0.14138075528157798,0.17175153971090776
1,weather_only,3,0.1413931623168796,0.1718378357838259
1,lag_plus_calendar,8,0.14130070681788662,0.17136832618916037
1,lag_plus_weather,7,0.14122305746659713,0.17172453166519308
1,lag_plus_calendar_plus_weather,11,0.14113605788185246,0.17137263738022088
2,calendar_only,4,0.1333742615619503,0.16858953743911873
2,lag_only,4,0.13342595507069288,0.16863675226896258
2,weather_only,3,0.13338785028485994,0.1686976073754345
2,lag_plus_calendar,8,0.1332695002857841,0.16854691752548315
2,lag_plus_weather,7,0.1333010215016489,0.16867859413331437
2,lag_plus_calendar_plus_weather,11,0.1331379940861751,0.16859900837700503
3,calendar_only,4,0.13044525524521833,0.16385025580300397
3,lag_only,4,0.13103005113323543,0.1643514995442318
3,weather_only,3,0.1307515958985978,0.16437961185807032
3,lag_plus_calendar,8,0.13056006065785958,0.1637988169827621
3,lag_plus_weather,7,0.13089065970327357,0.1643686482500808
3,lag_plus_calendar_plus_weather,11,0.13049495389041327,0.1638326662431159
4,calendar_only,4,0.13205278794326106,0.16034952708650754
4,lag_only,4,0.13196205718801263,0.16097667931227916
4,weather_only,3,0.13204972991839836,0.1609836037867515
4,lag_plus_calendar,8,0.132189666922708,0.16058100269435704
4,lag_plus_weather,7,0.13214514167967514,0.16121542882616666
4,lag_plus_calendar_plus_weather,11,0.13228309618649958,0.16083159518159082
5,calendar_only,4,0.13189547637569407,0.1654126374321813
5,lag_only,4,0.13165182793470984,0.16537144892340322
5,weather_only,3,0.13165565434755508,0.16553475890488864
5,lag_plus_calendar,8,0.13196929964994053,0.16555558987456898
5,lag_plus_weather,7,0.13176600942704322,0.16564938158779913
5,lag_plus_calendar_plus_weather,11,0.13206073003577296,0.165821709344946
