method,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,alerts,alert_rate_percent
split_conformal_95,21,18,31,863,0.5384615384615384,0.40384615384615385,0.46153846153846156,39,4.180064308681672
adaptive_ewma_residual_p99,16,14,36,867,0.5333333333333333,0.3076923076923077,0.3902439024390244,30,3.215434083601286
rolling_week_residual_p99,10,1,42,880,0.9090909090909091,0.19230769230769232,0.31746031746031744,11,1.1789924973204717
static_residual_p99,8,0,44,881,1.0,0.15384615384615385,0.2666666666666667,8,0.857449088960343
isolation_forest_5pct,19,114,33,767,0.14285714285714285,0.36538461538461536,0.2054054054054054,133,14.255091103965704
