reference,comparator,observations,reference_mae,comparator_mae,mae_difference_reference_minus_comparator,relative_mae_change_percent,bootstrap_ci95_lower,bootstrap_ci95_upper,hac_z,hac_p_unadjusted,holm_p,holm_significant_0_05
compact_edge_linear_float32,linear_regression,2000,0.13385784686683574,0.13385784693500005,-6.816430578315824e-11,-5.092290616048688e-08,-4.4444916707381263e-10,3.7849258673061657e-10,-0.3251751144591159,0.7450485418970505,0.7450485418970505,False
compact_edge_linear_float32,random_forest,2000,0.13385784686683574,0.13523588843762116,-0.0013780415707854018,-1.0189910287172304,-0.0024900000512395755,-0.0001797283228279809,-2.381011736639685,0.017265161860646156,0.03453032372129231,True
compact_edge_linear_float32,hist_gradient_boosting,2000,0.13385784686683574,0.14011567369971004,-0.006257826832874273,-4.466186164358588,-0.008474791609034263,-0.00391091148865566,-5.407001116688131,6.408874397606293e-08,1.9226623192818876e-07,True
compact_edge_linear_float32,seasonal_naive_lag_48,2000,0.13385784686683574,0.18880916134892167,-0.0549513144820859,-29.104156858435058,-0.05999931061670265,-0.0500358812530598,-21.006880218966362,5.6742369053468774e-98,2.269694762138751e-97,True
compact_edge_linear_float32,persistence_lag_1,2000,0.13385784686683574,0.19149980215113982,-0.05764195528430406,-30.100268844565473,-0.06236359640993138,-0.05235799359862162,-22.811421989767467,3.5318922397001686e-115,1.7659461198500843e-114,True
